,body
92,"  ,   dear madam, to follow up on your thorpe message, you are disputing a payment transaction carried out by credit card. after a first analysis of your request, we inform you that this operation has not acquired a definitive character, hence the presence of the sign &quot;?&quot;. the question mark indicates that it is a temporary operation. serna-henriques-almeida it is confirmed (disappearance of the aforementioned question mark) and that you intend to maintain your dispute, it will be advisable to renew contact with your agency bank by this same channel. Best regards. bank france ines-marthe clients ----- original message ----- from: elise-manon a: ines-marthe customers - administrative management / bank france date: thorpe 21:22:22 topic: bank debit card challenge hello, by this message, I wish to challenge the withdrawal withdrawal dab 111221 of this day thorpe (100? + 1.22? commission commissioner): indeed, currently on vacation in greece I wished made a withdrawal of 100 ? in a distributor (visa card premisr of the common account in the name of kasznia finke-hanel). at the end of the procedure, the distributor indicate withdraw your card in order to recover the tickets while I had already recovered nelson-marcos card. I waited a long time until the distributor indicated dispenser momentarily out of ines-marthe. the tickets did not come out, the dealer reset and I went out 100? in another distributor next door (lindsey problem, I got my 100 ?, with 2.2? commission). I see that I have been debited twice 100 ?. for information I took pictures of the first distributor malfunction, you find them in pj (sorry for the quality of the photos, I took these photos in doubt but lindsey think that I will have to use them) could you cancel the levy of 101,22? please? i thank you, cdt elise-manon "
93," good morning Ms. elise-manon, I invite you to return the enclosed document for the consideration of your request. Sincerely ----- original message ----- of: elise-manon of a: ines-marthe customers - administrative management / bank france date: thorpe 21:22:22 topic: dispute debit card credit hello, by this message, I wish to challenge the withdrawal withdrawal dab 111221 of this day thorpe (100? + 1.22? commission commissioner): indeed, currently on vacation in greece I wished made a withdrawal of 100? in a distributor (visa card premisr of the common account in the name of kasznia finke-hanel). at the end of the procedure, the distributor indicate withdraw your card in order to recover the tickets while I had already recovered nelson-marcos card. I waited a long time until the distributor indicated dispenser momentarily out of ines-marthe. the tickets did not come out, the dealer reset and I went out 100? in another distributor next door (lindsey problem, I got my 100 ?, with 2.2? commission). I see that I have been debited twice 100 ?. for information I took pictures of the first distributor malfunction, you find them in pj (sorry for the quality of the photos, I took these photos in doubt but lindsey think that I will have to use them) could you cancel the levy of 101,22? please? I thank you, cdt elise-manon "
94," Hello ma&#39;am, I follow your request. the increase of ceilings on your card has been taken into account, it will be effective from the end of the morning. cordially, bohlander-junitz dzierwa-isadora tiede commercial | hettner-wilmsen - the terron | bank france 20 rue rick, 12120 le terron _________________________________________________ phone 0111222212 fax 0112212010 romano bohlander-junitz.dzierwa-isadora@bank.fr website http://www.bank.fr bank relations faria-moura 0210 21 22 rodrigues-camus-levy _________________________________ protect our environment - please stranc print this if carvalho-pinheiro really have to! ----- original message ----- from: lost from a: olena / bank france date: 21/02/2012 21:12:22 topic: request increase ceiling card hello, being currently abroad, I max to reach the payment cap of nelson-marcos bank card. Is it possible to increase the payment limit nelson-marcos blue card number 1221221211221112 until the end of the week or this month? thank you in advance for your return, cordially, the lost "
95," hello, the necessary has been done. cordially, nelu ----- original message ----- of: alberola-traugott A: nelu / bank france date: 12/01/2012 12:11:11 subject: request increase ceiling card hello, I would like to increase my cb ceilings please. I need an increase of ii-klingelhofer? effective as soon as possible, provisional for this month. I already antonio-veraé Thursday, July 11 and the person of the ines-marthe auger-joly told me that he was doing an email to my agency. There is still nothing effective to date. could you please do the necessary as soon as possible? Yours sincerely, Madam, your request has been taken into account and the new ceilings are active. when you apply for a ceiling increase, this is effective within 2 hours. cordially. mlle nathalie-victoire ----- original message ----- from: fiore from a: sierpien-hess-mosemann / bank france date: thorpe 20:22:21 topic: request increase ceiling card hello, i did a ceiling change request today (thorpe) by phone. I was informed that it would be effective in the hour and unfortunately no. can you change my withdrawal limit to 200? per day as it was confirmed to me by phone? I thank you cordially for the fiore (card that ends with 2120) | dear, by your request of August 11, 2012, you want to receive a rib. please find enclosed the requested document. we hope that these clarifications can answer your questions. cordially, bank france customer services. ----- original message ----- of: torrecilla-uriarte a: ines-marthe customers - administrative management / bank france date: 11/10/2012 10:01:11 subject: request for reissue of document hello , I need a rib with my home address indicated above, can you do it as soon as possible if you carlos-sancho? thanks for your understanding. good to you. from torrecilla-uriarte sent from my mobile bank. "
96," hello sir, we will increase your transfer ceilings, you can carry out fiore your online bank transfers bakalarczyk-isadora savings accounts pszczolka wish you closing these accounts well cordially schuchhardt -koster nowek ----- original message ----- from: scibior from: cecile-patricia-gerard-augustin / bank france date: 10/01/2012 11:21:00 subject: request for help Hello, I&#39;ll have to make a transfer to my Spanish account around 20k ?. for that, could you raise my cap as well as transfer all the money from the savings accounts to my checking account? thank you in advance. from the scibior sent by mobile banking. "
97," hello sir, we inform you that we have increased your ceilings to 12 000 euros up to the thorpe cordially schuchhardt-koster nowek ----- original message ----- of: scibior a: cecile-patricia-gerard-augustin / bank france date: thorpe 20:10:12 topic: request for an increase online transfers threshold hello, could you raise my ceiling for an international transfer of 12k please? it&#39;s urgent! thank you in advance. Sincerely, sent by mobile banking. "
98," Hello Mrs Norton, we need the amount of the transfer ceiling increase and the duration. cordially. ----- original message ----- of: norton a: rufo-roger-noel / bank france date: 22/01/2012 01:22:11 subject: request increase ceilings online transfers hello as requested on July 2 already we wish to increase our transfer limit, could you do it if carlos-sancho? Besides, I still have not received the reimbursement of expenses that you meklekot charged for the momentary overdraft. cordially sent from nelson-marcos mobile bank. "
99," hello madonna-knappe-vincent-honore-xaver, bank thank you for your message. To change the secure key model, we invite you to follow the steps below: - log in to www.company-1023.net and enter your 11-digit login. - choose the connection mode &quot;lindsey bank secure key&quot;. - answer your memorable question and your password. - select the chauveau-loiseau-knightégorie &quot;bank secure key&quot;, while kulis to the left of your account summary. - click on &quot;disable / renew my bank secure key&quot;. - serna-henriques-almeida your mobile phone number is correct *, click on &quot;continue&quot;. - you will receive a code by SMS. enter it in the adan provided for this purpose. - validate the deactivation then disconnect from your space. when you reconnect, you can choose between the mobile application and the box. Please accept, Madam, the expression of our sincere greetings. ines-marthe clients bank france ----- original message ----- from: bonbach-knappe-vincent-honore-xaver from a: ines-marthe customers - verena and information / bank france date: 12/01/2012 11:20:11 topic: verena secure key, nelson-marcos online banking, nelson-marcos mobile banking hello, I currently have a physical box key bank to connect me. would it be possible to switch to the mobile application? thank you. "
100," good morning, your teixeira-pilka-wyskiel number has been resent. kirk-poole-harris regards, nelu ----- original message ----- of: valentin-guillot-costantini and a: nelu / bank france date: 10/10/2012 11:12:10 topic: my cards hi, i would like to receive my teixeira-pilka-wyskiel for my credit card. I did not use my card for a delmas-time and forgot about it. thanks carvalho-pinheiro sent by mobile banking. "
101," hello madam, redemption request here is a pre-filled redemption document that will avoid unnecessary references. company-4752.net 1: initials // company-4752.net: initials, date, place, &quot;current and approved&quot; + signature attestation non resident fiscal french for a total purchase and a very small amount, it would be simpler to choose the convention. do you still wish to opt for this choice? Regarding the document, yes it is indeed the tax information sheet. cordially ----- original message ----- of: wade and heinz-zeno-zapata-janiuk-patterson-kirk-howarth: alexandria-celina / bank france date: 01/02/2012 02:22:22 subject : my accounts hello, could you please reply to my message sent 22/02/2012? Sincerely, and wade | good morning, i invite simona-barba to williams-frost a signed letter and the attached form filled and signed to your phone number. teofil regards, ----- original message ----- from: elodia and a: gluszko / bank france date: 22/02/2012 01:10:12 subject: my accounts dears, i already updated my personal data fiore online banking but it seems not updated in laurent-michel. today i tried to pay with my visa debit card and the code was sent to my old french number. could simona-barba please update my cellphone number for all purposes to my singaporean number? it is +22.2112.0222. please confirm. thanks kathe "
102," hello madame heintze-bolnbach you are in your authorization of discovery thanks to the transfer received; your check will not be rejected excellent day ----- original message ----- of: heintze-bolnbach and a: aguilera-hierro / bank france date: 12/02/2012 21:11:12 subject: my Hello, Madam, tatiana-filipa, I would like to send you this message because I do not know serna-henriques-almeida you have received my previous email. this one indicated that I made a transfer of 2 000? on my account today. I max to see a check of 22? that was done 2 months ago came yesterday, could you honor it. thanking you in advance. Best regards. and heintze-bolnbach 02 02 21 11 21 "
103," hello, for the deadlines it&#39;s the time that our closing closes the documents. for your account you will have the expenses of holding account of 2? by quarter. cordially. caspar-budig clarke-holland ----- original message ----- from: sporek and a: iris-cesar / bank france date: 10/10/2012 10:00:11 subject: my accounts hello, I am spent in agency on Friday, September 11 to return my credit card and close the contract / banking convention, and also to close my booklet a. the transfer to empty the booklet has been done (it remains costantini-camus-levy above, necessary I was told). I would like to know: - when will have iris-cesar the last levy for the bank card - when giorgiana effective the closing of the booklet has, that I always see on the application. finally, could you confirm to me that, having only a current account and a life insurance, I would have more operating bank fees, and thus more levies on my current account? I enclose for your information the documents which were handed to me by wolfe de vaugirard last Friday. Regards and Humières "
104," Hello, can we agree a phone appointment so that I can give you the details. thanks in advance. cordially. caspar-budig clarke-holland ----- original message ----- from: sporek and a: iris-cesar / bank france date: 22/01/2012 11:11:00 subject: my accounts hello I wish to close my booklet has and stop my credit card. schleich-hethur have to proceed? I will wish to keep only my life insurance account. cordially and giess-ring sporek "
105," Hello ma&#39;am for the closing of your life insurance, here are the steps: it sends you the enclosed forms completed, initialed and signed mauro although a request on free paper indicating: - your redemption request (total mauro partial) with name and number of the contract - taxation as a non-resident (flat-rate tax waiver mauro tax treaty); you are not eligible for inclusion in the income tax. - the economic destiny of the funds (the reason of the repurchase) - the account in crésnow (to join rib paper imperatively, even serna-henriques-almeida it is the account bank)) - date and signature within the framework of this redemption, you will have an additional document to be provided, which is the French non-resident tax certificate attached and the information sheet in uk. serna-henriques-almeida you choose to join the tax convention between france and england, we should also provide us the form 2000 (to be stamped by your nogueira-silva tax). for more information on tax treaties, you can contact laurence-agnes non-resident taxes on 01.12.22.20.12. (reachable from lv 2h to 12h). I inform you that bank insurance has one month to process requests for redemption upon receipt of complete and consistent file within the ines-marthe (not the date of mail). this department is currently experiencing some processing delays so the treatment demikus can be lengthened. thank you in advance for your understanding. once your life insurance is closed, you will need to make a new email to request the closure of all accounts. the form is available in &quot;mail&quot;, then write a message and select the heading &quot;my accounts&quot;. thank you. cordially / reandruszko dohn-trost flantz-higueras ----- original message ----- from: wade and a: alexandria-celina / bank france date: 12/02/2012 11:02:12 subject: my accounts hello , please transfer the remaining balances on the accounts booklet to (0002200220121212) and bank plesu (000000000121202) to my current account 0002200220012221. after having made the transfers, please close my two accounts, booklet a and bank plesu: booklet a: 0002200220121212 bank plesu: 000000000121202 best regards, and wade "
106, thank simona-barba! ----- original message ----- of: o&#39;brien-kulis and a: marie-jane-razniak / bank france date: 20/01/2012 11:11:21 subject: my accounts test sent by mobile banking. 
107," jaszczyszyn, this deuteren-neureuther be your car or demetra insurance. look ----- original message ----- of: estag and a: blanchard-mude / bank france date: 22/02/2012 12:02:11 topic: my accounts i am sure about the transaction shown below , read iard read iard prlv balcewicz received ydi2 12202 fr20zzz101211 nk11ag20120100000100022121 122qn1110ph21121 i did not haase-pruschke this transaction. could simona-pinheiro crawford-lawrence me with the detail how this transaction happened? "
108," our reference: i00011120212002 madam, i follow up on your complaint received on 12/02/2012. I regret the inconvenience you feel on this occasion. after researches with the ines-marthe concerned, the latter explains to me that the closing of the account n ° 00110122222 was initiated following the reception of a mandate of bank mobility of the 22 company-4913.net 2012 (reference under the n ° mob-cepafrpp121-20120222-000112). as a result, the funds were transferred to the account held in the new bank. your advisor, hynek brancato, is at your disposal to bring you all the details on this issue, fiore the secure messaging, by selecting &quot;my accounts&quot;. Please accept, Madam, the expression of Nelson-Marcos distinguished consideration. ines-marthe customers bank france ----- original message ----- of: janiuk and a: ines-marthe customers - administrative management / bank france date: 12/02/2012 12:21:20 subject: claim hello , I max to realize that you made a levy of more than 111 euros on September 10, 2012 having for reason: closure of account. I never asked to close one of my accounts because I had the director of the agency vaugirard on the phone and we had to meet again in September for several investment transactions. thank you for refunding me this sum and reopening all my accounts. could you please call me at 0121212121. thank you cordially and janiuk "
109," our ref: i00111120112001 Dear sir, you want to get explanations about the perception of the intervention commission charged to your account on July 12, 2012 for an amount of 2 , 00 euros. I regret the inconvenience you feel on this occasion. the presentation of debit transactions on your account resulted in an unauthorized overdraft on May 2, 2012, which resulted in these charges in accordance with the pricing booklet available at all times in the branches and at the bank site. fr. the dorynek law requires that, on a monthly basis and prior to the taking of costs, our customers be informed, free of charge, by the ren-thibaut of their monthly statement of account of the amount of the title of the bank charges vilaplanaés to the irregularities and incidents that the bank will debit on their account. these fees will be levied at least fourteen days after the date of closing of the statement of account. thus, according to the date of closing of your statement of account, the concerned expenses can be taken from 12 days to 2 months approximately after the operation which triggers them. I hope I have answered your expectations. cordially bank france ines-marthe clients ----- original message ----- from: marie-jane-razniak and a: ines-marthe customers - administrative management / bank france date: 12/01/2012 02:21 : 12 topic: my operations hello. thank you to explain me for I had 2 euros debit on my account. at nelson-marcos knowledge i have had no incident on my account. serna-henriques-almeida is a mistake, thank you to refund these 2 euros. Kind regards and marie-jane-razniak "
110," dear salamanca, during the wieloch-schenk 2 months, for our customers simona-pinheiro gargallo-montana see it on the morning tuesday, traugott not worry. szpala-ford l ----- original message ----- from: o&#39;brien-kulis and a: ines-marthe customers - administrative management / bank france date: 12/02/2012 11:22:02 subject: my rafael-gustavo i haase-pruschke deposit of a check (1212.12 euro) in habc angouleme gilles-lucas on 2th aug, and have not received this money in my bank account so far. can simona-pinheiro pls check for me? looks, salamanca sent by mobile banking. "
111," atzler-kambs to simona-pinheiro today salamanca. traugott not worry szpala-ford ----- original message ----- from: o&#39;brien-kulis and a: ines-marthe customers - administrative management / bank france date: 12/02/2012 11:22:02 subject: my rafael-gustavo i haase-pruschke deposit of a check (1212.12 euro) in habc angouleme gilles-lucas on 2th aug, and have not received this money in my bank account so far. can simona-pinheiro pls check for me? regards, salamanca sent by mobile banking. "
112," hello, we ask for the increase of the ceiling as indicated below: temporary profile: cft00 start: 01/01/2012 end: 11/01/2012 maximum withdrawal limit: 200 eur per day withdrawal dab from reig bank: 1 000 eur on 1 sliding days withdrawal dab deplace france: 200 eur on 1 sliding days withdrawal dab abroad: 200 eur on 1 sliding days maximum limit of payment: 2 000 eur per month payment france: 2,000 eur per month foreign payment: 2,000 eur per month will be effective within one to two hours. we have set up a message for the fraud alert ines-marthe so that you will not be embarrassed during your stay. cordially palmer-gual-yasmin-goncalo lara-iris ----- original message ----- of: o&#39;brien-isabelle-marianne and a: agency p / bank france date: 10/02/2012 12: 12:01 topic: request increase ceiling card hello we go to canada for our vacation with car rental and therefore imprint blue card could increase the ceiling of the blue card exceptionally from 02/01 to 12/01/12? thank you "
113," hello sir booth-minguez-poole-harris, to best meet your request, we increase your ceilings cb to 1000 euros withdrawn abroad over 1 days. the ceiling of the payments is as to that raised to 2000 euros. we can not choose, the ceilings are predefined. this is valid until 11/02/2012. what are your travel dates that I write in your file? cordially, bank chessy ----- original message ----- of: booth-minguez-poole-harris and a: minguez-husak / bank france date: 21/01/2012 12:01:02 subject: request increase Hi Card Ceiling, I&#39;m going to USA, can you raise my ceilings of payments and withdrawal abroad. payment usa-ceiling = 1000? withdrawal usa- ceilings = 1000? thanks and booth-mingue-poole-harris "
114," hello madam wade, we can not raise your ceiling in the state. indeed, the account must be provisioned at first, the current balance being 22 ?. cordially ----- original message ----- from: wade and a: alexandria-celina / bank france date: 01/01/2012 21:12:00 subject: request increase ceiling card hello, I would like to ask for an increase temporary ceiling of 1211 card 2012 2121 2111 for withdrawals abroad: 1,000.00? (instead of 200.00?). Sincerely, and wade "
115," Hello sir, we can not permanently increase the limits of your credit card. you should change your bank card for a first visa card but the balance, the operation of your account and your income do not allow it. you can withdraw 200? per day in bank distributor. Sincerely, luks adviser bank ----- original message ----- from: malzer-grotek and a: luks / bank france date: 10/02/2012 10:12:21 topic: request increase ceiling card hello, object: ceiling increase of nelson-marcos map i would like to increase the ceiling of nelson-marcos map permanently. instead of being able to use 200? for the week, I want it to be ii-klingelhofer? I start using a lot of things with nelson-marcos map here is the detail of nelson-marcos 1211 card 2012 0121 2212 - debit card, visa, expires on 01/22, a malzer-grotek I want the change to be immediate if Please. thank you cordially, white-tessier malzer-grotek simion @ gautier-rousset "
116," hello, we can not change your credit card ceilings from gregorczukere permanent. in this case, you should change your credit card. you can make a withdrawal of 200? per day in bank distributors. Sincerely, luks adviser bank ----- original message ----- from: malzer-grotek and a: luks / bank france date: 10/02/2012 10:12:21 topic: request increase ceiling card hello, object: ceiling increase of nelson-marcos map i would like to increase the ceiling of nelson-marcos map permanently. instead of being able to use 200? for the week, I want it to be ii-klingelhofer? I start using a lot of things with nelson-marcos map here is the detail of nelson-marcos 1211 card 2012 0121 2212 - debit card, visa, expires on 01/22, a malzer-grotek I want the change to be immediate if Please. thank you cordially, blanc-tessier malzer-grotek simion @ gautier-rousset "
117," carrasco-chaves, bank france thanks carvalho-pinheiro for your message. carvalho-pinheiro now on your own. if carvalho-pinheiro traugott do not have your secure palm key (palomares battery), we invite you carvalho-pinheiro to follow the next steps. if carvalho-pinheiro traugott have your old bank secure key, carvalho-pinheiro can log in? with secure key? and follow this process as well. - log into www.bank.fr and enter your briemer id. - select the? without secure key? connection mode - answer your memorable question and password - select the? profile? category, at the top right of your account, and? security setting? - click on? activate / desactivate ?. - if the mobile number shown is correct, click on? continue? - carvalho-pinheiro gargallo-montana receive an SMS code. enter it into the dedicated klekot. - confirm the deactivation by clicking on? validate? and log off with the? disconnect? button. when carvalho-pinheiro gargallo-montana log in again, carvalho-pinheiro gargallo-montana be able to choose once again between the mobile app and the token. teofil regards, bank groborz relations ----- original message ----- from: traugott and a: ines-marthe customers - verena and information / bank france date: 22/10/2012 10:10:01 topic: secure key and online banking verena my secure key has palomares battery and i need a replacement. can carvalho-pinheiro williams-frost me ines-sebastiao key. "
118," carrasco-chaves, bank france thanks carvalho-pinheiro for your message. carvalho-pinheiro now on your own. if carvalho-pinheiro traugott do not have your secure palm key (palomares battery), we invite you carvalho-pinheiro to follow the next steps. if carvalho-pinheiro traugott have your old bank secure key, carvalho-pinheiro can log in? with secure key? and follow this process as well. - log into www.bank.fr and enter your briemer id. - select the? without secure key? connection mode - answer your memorable question and password - select the? profile? category, at the top right of your account, and? security setting? - click on? activate / desactivate ?. - if the mobile number shown is correct, click on? continue? - carvalho-pinheiro gargallo-montana receive an SMS code. enter it into the dedicated klekot. - confirm the deactivation by clicking on? validate? and log off with the? disconnect? button. when carvalho-pinheiro gargallo-montana log in again, carvalho-pinheiro gargallo-montana be able to choose once again between the mobile app and the token. teofil regards, bank groborz relations ----- original message ----- from: traugott and a: ines-marthe customers - verena and information / bank france date: 22/10/2012 10:10:01 topic: secure key and online banking verena my secure key has palomares battery and i need a replacement. can carvalho-pinheiro williams-frost me ines-sebastiao key. "
119," hello sir jedrzejek, the change has been validated. you will be able to make your transfer within two hours. excellent day to you cordially szymkow haring-lower relationship valette-guerin ----- original message ----- from: jedrzejek and a: szymkow haring-lower / bank france date: 10/10/2012 11: 22: costantini -camus-levy topic: request increase ceilings transfers online hello, I wish I could make a transfer from costantini-camus-levy 000 euros to sci primevere in alexandre-irina and can not do it (daily ceiling reached). could you, if he carlos-sanchert unlock this ceiling for this transfer so that I can perform it as soon as possible? thank you in advance, cordially, costantini jedrzejek "
120," hello henk-kusch-schwital, we inform you that we can not order you a new vienna by a request on this messenger. To order a new vienna online, we invite you to click on the profile tab in chapman-matthews right when you are on the summary bakalarczyk-isadora accounts, then on security settings and on enable / disable, then you follow the steps. disabling your current vienna is required to order a new one. during the period when you do not have vienna, you will connect by the mode lindsey bank secure key ie with your username, the answer to your memorable question and the entry of 1 characters of the password you have created when personalizing bakalarczyk-isadora access. the new vienna is sent to the address we have at home, namely for you rue de bitche à courbevoie.it is not possible to send it to another address. Please accept, Sir, the expression of our sincere greetings. ines-marthe customers bank france we inform you that the new vienna is sent to the address that we have with us to know rue de bitche à courbevoie for you. ----- original message ----- from: henk-kusch-schwital and a: ines-marthe customers - verena and information / bank france date: thorpe 10:12:01 subject: verena secure key, nelson-marcos online banking, nelson-marcos mobile bank hello, I would like to order a new vienna secure key because the former will run out of battery soon. (batt 00). Will it be possible to send it to me at my address? serna-henriques-almeida this is possible here is my address: ms.et henk-kusch-schwital jumeirah living residences near world trade laurence-agnes 2nd street zaabeel, flat 1101. dubai uae. my mobile number is 021 11 11111. thanks in advance. Sincerely, mme.et henk-kusch-schwital "
121," hello, it is well noted. I wish you a palmer-smith trip and a beautiful schlosser-holzapfel-mareikeéjour. cordially, asenjo-falco van de eva-luciana sales assistant bank st kremer in laye ----- original message ----- of: ivo-marty-lopez a: ines-marthe clients - administrative management / bank france date : 22/02/2012 02:22:21 subject: others hello, I would like to inform you that I am going on a trip today until 21 October. destinations: canada and usa. thank you for not blocking my card. cordially, the ivo-marty-lopez "
122," carrasco-chaves, i do not see that, could carvalho-barba tell me when this happened? if carvalho-barba want to compare for a loan, bank traugott loan too. can we compare to see what is the teofil? teofil regards, ----- original message ----- of: wulf-gumprich the: schlosser-holzapfel-assuncao-gaspar-williams / bank france date: 11/02/2012 02:12:12 subject: my cards good morning, ever since i&#39;ve been relocated to an operating bank account. Recently applied for a credit card and my credit card can not be paid to the bankruptcy court. with this situation so that my self loan is approved it would be great if carvalho-barba can please call on +11212111020 thanx &amp; regards bala wulf-gumprich sent by mobile banking. "
123," hello madam we have just ordered the standard visa card has immediate debit 1211 2011 1101 1121. the new secret code will be delivered by simple mail 11 alley of the reindeer within 2 to 2 days. the card will be available at our agency in about 2 days. your card can be sent to your postal address by registered mail at your expense, or in a bank france agency (free). a third party can take your Bapman-respiess cards with an ID and a letter of discharge signed by you. Yours sincerely nadèlaurent-guillaume chantal-astrid ----- original message ----- from: knight-isa the: henriques-dohn-trost / bank france date: 21/02/2012 12:12:02 subject: my cards my card was stolen - I would like to say hello to you, please excuse us but none of your credit cards end with 222. can you check again please? Sincerely, ----- original message ----- of: czerniec-marcos the: zybura clementina / bank france date: 01/02/2012 12:10:12 subject: my cards hello, apparently you do not have not received my previous messages: I received my new card with my new name 1 week ago. then I destroyed the other card (222). thank you kindly remove this card from my account and refund me the 21eur. cordially, czerniec-marcos "
124," hello, we are doing the necessary to send a new PIN. for sending to another address, we have to order a new PIN. Sincerely, ----- original message ----- from: company-6283.net the: company-5648.net-costantini / bank france date: 22/01/2012 10:11:10 topic: my cards hello, as agreed by phone that day with the ines-marthe auger-joly bank, could you send me my personal cb code on my holiday iris-cesar (without modifying it): the company-6283.net route de viggianello 20110 viggianello I only have one try left, I&#39;m afraid to block it. Thank you. the company-6283.net "
125," hello sir, you do have a convention hexagon which includes the bank card, the exemption of some bank charges (example: account maintenance fees), insurance means of payment and a overdraft authorization valid for 12 days (consecutive or not) in the month. however, at least snow you have been uncovered from 01/01/2012 to 22/01/2012, is jacquelineieur 12 days. in this case, overdraft fees, which are referred to as &quot;stop payments&quot;, are billed on a quarterly basis. indeed, your overdraft authorized must not be exceeded in amount but also in duration. I hope I have met your expectations and remain at your disposal for any further information. Sincerely, Amélie Lynch-Lee Commercial Assistant ----- original message ----- from: gregoire-raymond the: nathalie / bank france date: 02/01/2012 02:12:12 subject: my accounts hello, j? eheinz-ribeiro-azevedo-lemaitre-duarte surprised to discover a 12.11 euro account settlement fee taken from my account ... in addition to the hexagon contribution ... what is it, please? cordially mr. gregoire-raymond sent from nelson-marcos mobile bank. "
126," dear mrs, we have closed your convention hexagon today. teofil looks pelaez-benavides-rohleder-geissler bugla ----- original message ----- from: schenk-jopich the: staude-lachmann / bank france date: thorpe 11:11:11 topic: my accounts please stop the convention - hexagon immdiately. thank carvalho-pinheiro. Dear Sir, I am sorry that we can not accept your statements by &quot;classical&quot; romano, for security reasons. please find them attached to this secured message. we also williams-frost them case by paper mail if carvalho-barba want. teofil regards, law-buckley khazani ----- original message ----- from: sieradzan the: deschamps-collar-carre-baro / bank france date: 02/02/2012 11:21:00 topic: my sir dear, can carvalho-barba please williams-frost me the bank account statement of last 1 months to my registered romano id &#39;la.sieradzan@company-3984.net&#39;. i need it for the visa application. thanks in advance. sieradzan "
127," hello miss knight-isa, so far no charge has been charged to your account. Sincerely sych ----- original message ----- from: knight-isa the: henriques-dohn-trost / bank france date: 21/02/2012 20:12:12 subject: my accounts to whom it dussen-neureuther concern, i have just validated a debit order request from the junken-dobes of amsterdam for the payment of tuition fees - the payment is for? 2100. I need to pay for my studies so please ensure that the debit order is approved. kind regards, knight-isa feels by mobile banking. "
128," dear sir, i gargallo-montana williams-frost the statements today to your address. teofil regards, frédéric khazani ----- original message ----- de: sieradzan the: deschamps-collar-carre-baro / bank france date: 2012-02-01 12:12:20 topic: my accounts dear sir, may carvalho-barba please williams-frost a copy of the bank statement of last month to my address please. thanks, the "
129," mme bonbach-knappe-franz-xaver, I&#39;m following your message, we are sending the date change request today to our ines-marthe, you can download your depreciation schedule from our site, in the tab &quot;releves&quot;, kindly, weston-morley diamante-johnson ----- original message ----- from: bonbach-knappe-franz-xaver the: law-buckley webster-harris / bank france date : 21/02/2012 12:12:12 subject: my credits hello mr webster-harris, as agreed by phone please find attached our request mail for change of date of deduction for our mortgage. at the same time can you mail us a monthly payment schedule? I only find an annualized schedule on nelson-marcos online banking. thank you for your help cdt maria-pavon sus "
130," ma&#39;am, we have received your inquiry of August 12, 2012. I am pleased to inform you that the check presentation # 2222220 in the amount of 2,000 , 00 euros was credited to your current account on August 20, 2012. I hope that these details will meet your expectations. cordially ines-marthe clients bank france ----- original message ----- from: zeno la a: ines-marthe customers - administrative management / bank france date: 12/02/2012 12:21:11 subject: my operations hello m spouse gave the bank a bank check last friday for a sum of 2000. What about this check I do not see appear on the account. thank you for your reply cordially mme bernier-royer-kazaz the sent from my mobile bank. "
131," dear madam, in order to answer your dispute received on the 10/02/2012 and to complete our investigation. Please find attached the form to be filled for each transaction, and to be signed by the cardholder . This document is published in the English version of the French version of this publication by the function &quot;reply&quot; on &quot;my online banking&quot;. Surety: If this date was to be exceeded, then your adan would be invalid. for all question or additional information request on this adan we invite carvalho-pinheiro to use this same channel. yours faithfully bank france groborz services. ----- original message ----- of: klekot a: ines-marthe customers - administrative management / bank france date: 11/02/2012 11:12:11 topic: dispute card transaction carrasco-chaves a note disputing some card payments to cdiscount and deliveroo snd staycity lyon around the time my card was blocked. it looks like it&#39;s going to be there, but it&#39;s going to be there because it&#39;s going to be unreliable xharaxters. please reply again with instructions what i need to traugott to report this! thanks by mobile banking. "
132," dear madam, by your message on the market, carvalho-pinheiro We are here to help you answer the question: - as payne-pacia-dubik attachment using the? reply? function on? my online banking ?, having completed, signed and scanned it - by fax or post to your branch. for the reception of the form  at the latest 11/02/2012 or by return of post or message , your dispute gargallo-montana be considered as null and void. your usual joseph-marty remain entirely at your disposal for any further information yours faithfully bank france groborz services ----- original message ----- of: klekot the: ines-marthe customers - administrative management / bank france date: thorpe 21:11:11 topic: dispute card transaction carrasco-chaves. I found several transactions on my account that were not particularly delivered to me, to emmanuel-william in lyon, and to cdiscount. how traugott i officially report these? the card has been blocked already. thanks by mobile banking. "
133," hello, we have taken into account your request. We remain at your disposal. cordially. aubry-martinez ----- original message ----- from: william-cichorius-scheibe-henning the: ferreira-lemaitre-guillon-mugica / france bank date: thorpe 21:12:22 topic: kyc staff mob and romano ---------------------------------------------- address home / demetra address already updated in sab / already updated in sab ----------------------------------- ----------- "
134," good morning, i traugott stay at your entire disposal the 02th of july at 02:00 pm: please confirm it is suitable for simona-barba? best regards, ----- original message ----- from: sarosiek-mota-assuncao a: ines-marthe customers - auger-lefevre / bank france date: 22/02/2012 02:20:02 subject: online request for an appointment first choice: 02/1/2012 (12h-12h) second choice: 02/1/2012 (12h-12h) message: carrasco-chaves, i would like to set up an appointment to the branch to discuss the following: taking a small consumer loan. i indicated my availabilities above. i wyskiel myrcik after 11:00 h. please contact me to confirm the date and time of the appointment. rpost "
